Index,screen_name,count,classification,user_defined_location,class,mean,std_dev,points>100,ratio
309,gourmet__couple,8,Resident,"New Delhi, India",1,21.86307178,57.69647652,2,8.5
310,MasterchefVijay,8,Tourist,"Baloda bazar, chattishgarh",2,579.5967932,609.2483767,97,0.095541401
311,Neereventsmang,8,Resident,"Uttam Nagar, New Delhi",1,47.06263859,187.5954995,8,3.305555556
312,sidharth_09,8,Tourist,New Delhi,1,1353.628869,2542.812524,131,0.607843137
313,indiankitchens,7,Tourist,New Delhi ,1,22.42260263,49.4321321,22,0.577494692
314,GurugramF,7,None,India,2,26.78730455,128.990194,3,0.074380165
315,AnkitSi55699648,7,Resident,"New Delhi, India",1,24.63701613,167.656022,5,11.9
316,avneeshjaswal,7,Resident,"New Delhi, India",1,21.90572677,177.9544197,6,7.625
317,fuchsia109,7,Resident,new delhi,1,272.9007418,888.5847097,94,2.68159204
318,Rajeevhaker,7,Tourist,Delhi,1,99.10009752,264.433106,37,0.414473684
319,MLtFDH7c4h5ukNT,7,None,Dosa,2,67.24768552,113.6133554,30,
320,Mukesh05Kumar,7,Tourist,Sonbrsa  Bazar Gorakphur  ,2,657.841322,618.6848562,22,0.176470588
321,mukeshStimulus,7,Tourist,Delhi India,1,158.6413951,451.2752366,4,2.7
322,im_musafirr,7,Tourist,DELHI,1,43.24898464,110.720923,20,1.25
323,KingdomOfWallp1,7,None,"Gurgaon, Haryana",2,4.089730946,14.71420983,0,0.01369863
324,PradeepLamba100,7,Tourist,"Gurgaon, India",2,47.53228292,124.2405501,18,0.103030303
325,SharmaMunishwar,7,Resident,New Delhi.,1,49.77998546,221.8914362,8,2.973684211
326,ChetanCk,6,Tourist,Gurgaon,1,3.107045088,4.666792031,0,0.025806452
327,sudhirggarg,6,Resident,Jaipur India,2,282.1952155,1019.604171,196,0.005333333
328,Deepanjal96,6,Resident,Delhi,1,1879.509495,3959.978441,30,3.074074074
329,utsavdas21,6,None,Gurgaon,1,27.52963997,89.58957425,4,
330,mrigank143,6,Resident,India,1,0.486793399,1.498318467,0,
331,cfbyvikas,6,Resident,Delhi ,1,0,0,0,
